Age,DistanceFromHome,Education,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,avg_work_hours,TenureRatio,PromotionGap,IncomePerYear,IsOverworked,ManagerStability,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
1.0053447098379975,-0.03556532950358094,1,0,1,1.6447054307568216,-0.27683823492282594,1.8254802201700697,0,0.10352600947940344,3,-0.15527756015799463,-0.3626847392182116,-0.025315110035583163,4.0,4.0,2.0,3,4,-1.095501324344434,-0.4227903546448325,-0.3448290213508372,0.18793749880388325,0,0.3820904228596486,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.1005825979564308,0.08656090846667518,4,1,2,-0.5077171090154092,2.1117688455521484,2.367549625345147,1,0.362383288691985,3,0.5080629792617226,2.13162535053847,1.0984556441526943,4.0,3.0,1.0,3,4,-0.645867400031074,0.2966062499445221,2.1570774755510485,-0.48916419761698887,0,0.9440061395925072,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
-0.5279883335278092,-0.5240702813846054,4,1,5,-0.3094112475324099,-1.0730405950811506,-0.6138321031177785,0,-0.1553312697331781,5,0.3422278444067933,-0.3626847392182116,0.5365702670585556,4.0,2.0,2.0,3,3,-0.8182270710178622,0.8279787419707505,-0.5036038567311492,-0.33700634312322064,0,0.4851083042606727,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
-0.30894075590412245,-1.01257523326563,2,0,2,2.4051280152759555,-1.0730405950811506,-1.1559015082928559,0,-0.6730458281583412,5,-0.32111269501292394,-0.3626847392182116,-0.587200487129722,4.0,4.0,3.0,2,3,1.677241208921284,0.4636090331527654,-0.2566207794728861,1.3835427064011943,1,-0.47639192214888515,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.6624874427090575,-0.8904489952953738,3,1,1,-0.4157460662303209,-0.6749394150019883,-0.34279740053023977,0,2.8215274412115097,3,4.322271080925097,4.0023579178559805,2.222226398340972,1.0,3.0,4.0,2,3,0.845418448941569,1.362476954538309,0.7603683621787855,-0.6050243068287904,1,-0.4056933760893587,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
-1.6232262216462425,-1.01257523326563,3,0,4,1.391302697488816,-0.6749394150019883,-1.1559015082928559,2,-0.9319031073709227,3,-0.48694782986785323,-0.05089597799862642,-0.587200487129722,4.0,2.0,2.0,3,3,0.6206014867848887,0.7642140429276031,0.6078199909310349,1.4364615734849508,1,-0.23601686554649554,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-1.6232262216462425,-1.01257523326563,3,1,4,-0.31691471256149634,-0.6749394150019883,-0.34279740053023977,0,-1.320189026189795,3,-0.9844532344326412,-0.6744735004377967,-1.1490858642238606,3.0,1.0,3.0,3,3,0.9203574363271287,-0.28790349128432857,-0.8740784726185438,1.3506317809808965,1,-1.6782672051608325,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1.4434398650853708,1.3078232881692364,2,0,5,1.9199754049667366,0.5193641252354988,1.5544455175825311,0,1.7860983243611834,3,-0.6527829647227825,-0.3626847392182116,-0.587200487129722,4.0,1.0,3.0,2,4,2.0669239433261954,-1.6367721248893687,0.05210806709994281,-0.2225945364514207,1,0.12454571935708857,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.6767733434024675,2.1627069539610293,4,1,2,-0.5293699652422016,0.5193641252354988,0.741341409819915,1,-0.4141885489457596,3,-0.32111269501292394,-0.6744735004377967,-0.587200487129722,3.0,3.0,3.0,3,3,0.9428391325427963,-0.09306691087471153,-0.8740784726185438,-0.34775942964788487,1,-0.47639192214888515,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
-1.6232262216462425,-0.8904489952953738,2,0,2,2.8081712796954568,-1.0730405950811506,-0.34279740053023977,0,-1.0613317469772134,3,-0.8186180995777119,-0.05089597799862642,-0.587200487129722,1.0,3.0,3.0,2,3,-1.2678609953312217,-0.28790349128432857,1.595752299964087,3.348544756202449,0,0.7254833608630621,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.8958209210261542,-0.8904489952953738,1,0,4,-0.43782769188734677,-1.0730405950811506,2.0965149227576085,0,-0.2847599093394689,2,0.17639270955186404,0.26089278322095877,0.817512955605625,4.0,2.0,4.0,3,4,-0.18873957697915877,0.7642140429276031,0.3608369136727716,-0.34899771476799074,0,1.126108455200378,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1.0053447098379975,-0.6461965193548616,1,1,1,0.05697223060212627,1.3155664853938234,1.5544455175825311,1,1.9155269639674741,3,-0.6527829647227825,-0.6744735004377967,-0.8681431756767913,1.0,3.0,1.0,2,4,-0.6533612987696306,-1.6517595541516472,-0.8740784726185438,-0.508520873474564,0,-0.7768607429018719,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
-0.19941696709227916,1.918454478020517,1,1,1,-0.22215666847989016,-1.0730405950811506,0.741341409819915,0,-0.6730458281583412,4,-0.32111269501292394,-0.6744735004377967,-0.025315110035583163,2.0,1.0,1.0,3,3,-0.8182270710178622,0.4636090331527654,-0.8740784726185438,-0.0724984164354396,0,0.7254833608630621,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-0.5279883335278092,-0.8904489952953738,2,0,1,-0.9176206843186469,-0.6749394150019883,1.0123761124074537,1,-0.2847599093394689,4,0.3422278444067933,0.26089278322095877,0.817512955605625,2.0,4.0,3.0,1,3,0.17096756247152928,1.1149198876649136,0.2373453750436401,-0.5351286020006198,0,0.8456708891642568,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-1.2946548552107124,-0.4019440434143493,2,0,1,-0.7885610858183597,-1.0730405950811506,1.8254802201700697,1,-0.8024744677646319,0,-0.48694782986785323,-0.3626847392182116,-0.8681431756767913,3.0,4.0,3.0,3,4,0.23841265111853313,0.2966062499445221,-0.13312924084375446,-0.3315877956166516,0,-0.9571420353536639,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.5672495545906242,-0.5240702813846054,4,1,5,2.2724238766186837,1.7136676654729859,-1.1559015082928559,0,-0.1553312697331781,3,-0.48694782986785323,-0.6744735004377967,-0.30625779858265256,4.0,1.0,4.0,2,3,-0.14377618454782243,-0.7661387341079338,-0.8740784726185438,0.5735364608992641,0,0.4851083042606727,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-0.5279883335278092,-0.8904489952953738,3,1,2,-0.8018529381555987,-0.6749394150019883,1.5544455175825311,1,0.23295464908569422,4,1.0055683838265106,0.5726815444405439,1.0984556441526943,4.0,3.0,2.0,3,4,-0.5334589189527345,1.2151215575898593,0.1844204299168694,-0.5545187212374162,0,0.3820904228596486,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-0.19941696709227916,0.8193183362882119,4,1,2,0.6602508189406779,-0.6749394150019883,-0.07176269794270107,0,-0.8024744677646319,2,-0.32111269501292394,-0.6744735004377967,-0.30625779858265256,1.0,3.0,3.0,2,3,-1.0430440331745419,0.8811159911733732,-0.8740784726185438,0.6051656568097022,0,0.12454571935708857,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.19941696709227916,-0.8904489952953738,4,1,2,0.7884528785804981,-1.0730405950811506,-0.34279740053023977,1,0.6212405679045665,2,1.3372386535363692,-0.05089597799862642,1.0984556441526943,3.0,1.0,3.0,4,3,-1.2303915016384417,1.0530306209465645,-0.4109852027593005,-0.21997905950596855,0,0.12454571935708857,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-1.0756072775870258,0.6971920983179558,3,1,1,-0.5274405028061508,-0.6749394150019883,-0.8848668057053172,2,-0.5436171885520504,3,0.010557574696934706,-0.6744735004377967,-0.30625779858265256,4.0,2.0,2.0,3,3,-0.11380058959359843,1.0272434264805859,-0.8740784726185438,-0.30088479329163864,0,-0.32615751177239166,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
-1.1851310663988692,0.2086871464369313,4,1,2,0.6070834095917224,-1.0730405950811506,1.2834108149949923,0,-0.8024744677646319,3,-0.48694782986785323,-0.6744735004377967,-1.1490858642238606,4.0,3.0,3.0,3,4,-0.12129448833215493,0.2966062499445221,-0.8740784726185438,0.5707893833261665,0,-1.6782672051608325,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
